00.00	0	5440	90.66666667	90	0.4	90.4	1	91	13	18.2	46	6.571428571	9.2	118	60
06.00_Getting_Started_With_Arrays	10	5430	90.5	90	0.3	90.3	1	91	13	18.2	46	6.571428571	9.2	118	60
06.01_One-Dimensional_Arrays	105	5325	88.75	88	0.45	88.45	1	89	12.71428571	17.8	45	6.428571429	9	115	58
06.02_Formatting_Output	90	5235	87.25	87	0.15	87.15	1	88	12.57142857	17.6	44	6.285714286	8.8	114	57
06.03_The_for-each_Loop	60	5175	86.25	86	0.15	86.15	1	87	12.42857143	17.4	44	6.285714286	8.8	112	57
06.04_Arrays_of_Objects	120	5055	84.25	84	0.15	84.15	1	85	12.14285714	17	43	6.142857143	8.6	110	56
06.05_Computer_Science_Lab:_Magpie	150	4905	81.75	81	0.45	81.45	1	82	11.71428571	16.4	41	5.857142857	8.2	106	53
06.06_Discussion-Based_Assessment	60	4845	80.75	80	0.45	80.45	1	81	11.57142857	16.2	41	5.857142857	8.2	105	53
06.07_Part_1_Challenge_Exam	90	4755	79.25	79	0.15	79.15	1	80	11.42857143	16	40	5.714285714	8	103	52
06.07_Part_2_Challenge_Exam	90	4665	77.75	77	0.45	77.45	1	78	11.14285714	15.6	39	5.571428571	7.8	101	51
07.00_Introduction_to_Standard_Algorithms	45	4620	77	77	0	77	0	77	11	15.4	39	5.571428571	7.8	100	51
07.01_ArrayLists_I	120	4500	75	75	0	75	0	75	10.71428571	15	38	5.428571429	7.6	97	49
07.02_ArrayLists_II	120	4380	73	73	0	73	0	73	10.42857143	14.6	37	5.285714286	7.4	94	48
07.03_Challenge_Program	120	4260	71	71	0	71	0	71	10.14285714	14.2	36	5.142857143	7.2	92	47
07.04_Traversals_Lesson	90	4170	69.5	69	0.3	69.3	1	70	10	14	35	5	7	91	46
07.05_Replacements_Lesson	90	4080	68	68	0	68	0	68	9.714285714	13.6	34	4.857142857	6.8	88	44
07.06_Insertions_Lesson	90	3990	66.5	66	0.3	66.3	1	67	9.571428571	13.4	34	4.857142857	6.8	87	44
07.07_Deletions_Lesson	105	3885	64.75	64	0.45	64.45	1	65	9.285714286	13	33	4.714285714	6.6	84	43
07.08_Challenge_Program	150	3735	62.25	62	0.15	62.15	1	63	9	12.6	32	4.571428571	6.4	82	42
07.09_Insertion_Sort	105	3630	60.5	60	0.3	60.3	1	61	8.714285714	12.2	31	4.428571429	6.2	79	40
07.10_Selection_Sort	105	3525	58.75	58	0.45	58.45	1	59	8.428571429	11.8	30	4.285714286	6	76	39
07.11_Computer_Science_Lab:_Magpie_Part_2	150	3375	56.25	56	0.15	56.15	1	57	8.142857143	11.4	29	4.142857143	5.8	74	38
07.12_Checklist	15	3360	56	56	0	56	0	56	8	11.2	28	4	5.6	73	37
08.00_Introduction_to_Searching	45	3315	55.25	55	0.15	55.15	1	56	8	11.2	28	4	5.6	73	37
08.01_Sequential_Search	105	3210	53.5	53	0.3	53.3	1	54	7.714285714	10.8	27	3.857142857	5.4	70	35
08.02_Binary_Search	105	3105	51.75	51	0.45	51.45	1	52	7.428571429	10.4	26	3.714285714	5.2	67	34
08.03_Challenge_Program	150	2955	49.25	49	0.15	49.15	1	50	7.142857143	10	25	3.571428571	5	65	33
08.04_2D_Array_Part_1	60	2895	48.25	48	0.15	48.15	1	49	7	9.8	25	3.571428571	5	64	33
08.05_2D_Array_Part_2	90	2805	46.75	46	0.45	46.45	1	47	6.714285714	9.4	24	3.428571429	4.8	61	31
08.06_Computer_Science_Lab:_Picture	120	2685	44.75	44	0.45	44.45	1	45	6.428571429	9	23	3.285714286	4.6	58	30
08.07_Computer_Science_Lab:_Picture	120	2565	42.75	42	0.45	42.45	1	43	6.142857143	8.6	22	3.142857143	4.4	56	29
