00.00	0	4110	68.50	68	0.30	68.30	1	69	9.86	13.80	35	5.00	7.00	89	46
01.00_Orientation	15	4095	68.25	68	0.15	68.15	1	69	9.86	13.80	35	5.00	7.00	89	46
01.01_Course_Folder_Management	15	4080	68.00	68	0.00	68.00	0	68	9.71	13.60	34	4.86	6.80	88	44
01.02_Installing_Java	15	4065	67.75	67	0.45	67.45	1	68	9.71	13.60	34	4.86	6.80	88	44
01.03_Installing_the_BlueJ_IDE	30	4035	67.25	67	0.15	67.15	1	68	9.71	13.60	34	4.86	6.80	88	44
01.04_Student_Contact_Card	60	3975	66.25	66	0.15	66.15	1	67	9.57	13.40	34	4.86	6.80	87	44
01.05_Stylish_Java	30	3945	65.75	65	0.45	65.45	1	66	9.43	13.20	33	4.71	6.60	85	43
01.06_Order_of_Operations	60	3885	64.75	64	0.45	64.45	1	65	9.29	13.00	33	4.71	6.60	84	43
01.07_Printing_Arithmetic_Expressions	45	3840	64.00	64	0.00	64.00	0	64	9.14	12.80	32	4.57	6.40	83	42
01.08_Primitive_Data_Type:_ints	34	3806	63.43	63	0.26	63.26	1	64	9.14	12.80	32	4.57	6.40	83	42
01.09_Primitive_Data_Type:_doubles	60	3746	62.43	62	0.26	62.26	1	63	9.00	12.60	32	4.57	6.40	82	42
01.10_Arithmetic_Expressions	90	3656	60.93	60	0.56	60.56	1	61	8.71	12.20	31	4.43	6.20	79	40
01.11_Primitive_Data_Type_Conversions	90	3566	59.43	59	0.26	59.26	1	60	8.57	12.00	30	4.29	6.00	78	39
01.12_Pitfalls,_Surprises,_and_Shortcuts	75	3491	58.18	58	0.11	58.11	1	59	8.43	11.80	30	4.29	6.00	76	39
01.13_Challenge_Program	90	3401	56.68	56	0.41	56.41	1	57	8.14	11.40	29	4.14	5.80	74	38
01.14_Discussion-Based_Assessment	30	3371	56.18	56	0.11	56.11	1	57	8.14	11.40	29	4.14	5.80	74	38
01.15_Checkpoint_Beta	10	3361	56.02	56	0.01	56.01	1	57	8.14	11.40	29	4.14	5.80	74	38
02.00_Introduction	10	3351	55.85	55	0.51	55.51	1	56	8.00	11.20	28	4.00	5.60	73	37
02.01_Pseudocode,_Recipe_for_Success	45	3306	55.10	55	0.06	55.06	1	56	8.00	11.20	28	4.00	5.60	73	37
02.02_The_Java_API	45	3261	54.35	54	0.21	54.21	1	55	7.86	11.00	28	4.00	5.60	71	37
02.03_Java's_Math_Class	105	3156	52.60	52	0.36	52.36	1	53	7.57	10.60	27	3.86	5.40	69	35
02.04_Primitive_Data_Types:_char	30	3126	52.10	52	0.06	52.06	1	53	7.57	10.60	27	3.86	5.40	69	35
02.05_String_Objects_Lite	45	3081	51.35	51	0.21	51.21	1	52	7.43	10.40	26	3.71	5.20	67	34
02.06_String_Class_Method:_The_Basics	90	2991	49.85	49	0.51	49.51	1	50	7.14	10.00	25	3.57	5.00	65	33
02.07_Scanner_Class_Methods	36	2955	49.25	49	0.15	49.15	1	50	7.14	10.00	25	3.57	5.00	65	33
02.08_Parsing	60	2895	48.25	48	0.15	48.15	1	49	7.00	9.80	25	3.57	5.00	64	33
02.09_Calling_Methods_in_Java	90	2805	46.75	46	0.45	46.45	1	47	6.71	9.40	24	3.43	4.80	61	31
02.10_Challenge_Program	90	2715	45.25	45	0.15	45.15	1	46	6.57	9.20	23	3.29	4.60	60	30
02.11_Module_02_Exam_	60	2655	44.25	44	0.15	44.15	1	45	6.43	9.00	23	3.29	4.60	58	30
03.00_Getting_Started_with_if_Statements	10	2645	44.08	44	0.05	44.05	1	45	6.43	9.00	23	3.29	4.60	58	30
03.01_Number_Systems	75	2570	42.83	42	0.50	42.50	1	43	6.14	8.60	22	3.14	4.40	56	29
03.02_Primitive_Data_Types:_booleans	75	2495	41.58	41	0.35	41.35	1	42	6.00	8.40	21	3.00	4.20	55	28
03.03_Condition_Statements:_if_	105	2390	39.83	39	0.50	39.50	1	40	5.71	8.00	20	2.86	4.00	52	26
03.04_Condition_Statements:_if-else	120	2270	37.83	37	0.50	37.50	1	38	5.43	7.60	19	2.71	3.80	49	25
03.05_Condition_Statements:_if-else-if	120	2150	35.83	35	0.50	35.50	1	36	5.14	7.20	18	2.57	3.60	47	24
03.06_Comparing_Strings	120	2030	33.83	33	0.50	33.50	1	34	4.86	6.80	17	2.43	3.40	44	22
03.07_Logical_Operator	105	1925	32.08	32	0.05	32.05	1	33	4.71	6.60	17	2.43	3.40	43	22
03.08_Discussion-Based_Assessment	30	1895	31.58	31	0.35	31.35	1	32	4.57	6.40	16	2.29	3.20	42	21
03.09_Checkpoint_Delta	15	1880	31.33	31	0.20	31.20	1	32	4.57	6.40	16	2.29	3.20	42	21
04.00_Loops	15	1865	31.08	31	0.05	31.05	1	32	4.57	6.40	16	2.29	3.20	42	21
04.01_While_Loops_(Part_1)	60	1805	30.08	30	0.05	30.05	1	31	4.43	6.20	16	2.29	3.20	40	21
04.02_While_Loops_(Part_2)	60	1745	29.08	29	0.05	29.05	1	30	4.29	6.00	15	2.14	3.00	39	20
04.03_Reading_Text_Files	120	1625	27.08	27	0.05	27.05	1	28	4.00	5.60	14	2.00	2.80	37	19
04.04_For_Loops	120	1505	25.08	25	0.05	25.05	1	26	3.71	5.20	13	1.86	2.60	34	17
04.05_Nested_Loops	120	1385	23.08	23	0.05	23.05	1	24	3.43	4.80	12	1.71	2.40	31	16
04.06_Writing_Text_Files	120	1265	21.08	21	0.05	21.05	1	22	3.14	4.40	11	1.57	2.20	29	15
04.07_Challenge_Program	150	1115	18.58	18	0.35	18.35	1	19	2.71	3.80	10	1.43	2.00	25	13
04.08_Module_04_Exam	60	1055	17.58	17	0.35	17.35	1	18	2.57	3.60	9	1.29	1.80	24	12
05.00_Procedural_and_OOP_Styles	10	1045	17.42	17	0.25	17.25	1	18	2.57	3.60	9	1.29	1.80	24	12
05.01_Defining_New_Static_Methods:_Part_1	90	955	15.92	15	0.55	15.55	1	16	2.29	3.20	8	1.14	1.60	21	11
05.02_Defining_New_Static_Methods:_Part_2	120	835	13.92	13	0.55	13.55	1	14	2.00	2.80	7	1.00	1.40	19	10
05.03_Getting_Started_with_Objects	15	820	13.67	13	0.40	13.40	1	14	2.00	2.80	7	1.00	1.40	19	10
